,income,incomePredicted
22053, <=50K, <=50K
22054, <=50K, <=50K
22055, <=50K, <=50K
22056, <=50K, <=50K
22057, >50K, <=50K
22058, <=50K, <=50K
22059, <=50K, <=50K
22060, <=50K, <=50K
22061, <=50K, <=50K
22062, <=50K, <=50K
22063, >50K, <=50K
22064, <=50K, <=50K
22065, <=50K, <=50K
22066, <=50K, <=50K
22067, <=50K, <=50K
22068, <=50K, <=50K
22069, <=50K, <=50K
22070, <=50K, <=50K
22071, >50K, <=50K
22072, <=50K, <=50K
22073, <=50K, <=50K
22074, <=50K, <=50K
22075, <=50K, <=50K
22076, <=50K, <=50K
22077, <=50K, <=50K
22078, >50K, <=50K
22079, <=50K, <=50K
22080, <=50K, <=50K
22081, <=50K, <=50K
22082, <=50K, <=50K
22083, <=50K, <=50K
22084, <=50K, <=50K
22085, >50K, <=50K
22086, <=50K, >50K
22087, >50K, <=50K
22088, <=50K, <=50K
22089, <=50K, <=50K
22090, <=50K, <=50K
22091, <=50K, <=50K
22092, <=50K, <=50K
22093, <=50K, <=50K
22094, <=50K, <=50K
22095, <=50K, <=50K
22096, <=50K, <=50K
22097, <=50K, <=50K
22098, <=50K, <=50K
22099, <=50K, <=50K
22100, <=50K, <=50K
22101, <=50K, <=50K
22102, <=50K, <=50K
22103, <=50K, <=50K
22104, <=50K, <=50K
22105, <=50K, <=50K
22106, <=50K, <=50K
22107, <=50K, <=50K
22108, <=50K, <=50K
22109, <=50K, <=50K
22110, <=50K, <=50K
22111, >50K, <=50K
22112, <=50K, <=50K
22113, <=50K, <=50K
22114, <=50K, <=50K
22115, <=50K, <=50K
22116, <=50K, <=50K
22117, <=50K, <=50K
22118, <=50K, <=50K
22119, <=50K, <=50K
22120, >50K, <=50K
22121, <=50K, <=50K
22122, <=50K, <=50K
22123, >50K, <=50K
22124, <=50K, <=50K
22125, <=50K, <=50K
22126, <=50K, <=50K
22127, <=50K, <=50K
22128, >50K, >50K
22129, >50K, <=50K
22130, <=50K, <=50K
22131, <=50K, <=50K
22132, >50K, <=50K
22133, <=50K, <=50K
22134, <=50K, <=50K
22135, <=50K, <=50K
22136, <=50K, <=50K
22137, >50K, <=50K
22138, <=50K, <=50K
22139, <=50K, <=50K
22140, >50K, <=50K
22141, >50K, <=50K
22142, >50K, <=50K
22143, <=50K, <=50K
22144, <=50K, <=50K
22145, >50K, <=50K
22146, >50K, <=50K
22147, <=50K, <=50K
22148, <=50K, <=50K
22149, <=50K, <=50K
22150, <=50K, <=50K
22151, <=50K, <=50K
22152, >50K, <=50K
22153, >50K, <=50K
22154, <=50K, <=50K
22155, <=50K, <=50K
22156, >50K, <=50K
22157, <=50K, <=50K
22158, >50K, <=50K
22159, <=50K, <=50K
22160, <=50K, <=50K
22161, <=50K, <=50K
22162, <=50K, <=50K
22163, <=50K, <=50K
22164, >50K, <=50K
22165, <=50K, <=50K
22166, <=50K, <=50K
22167, <=50K, <=50K
22168, <=50K, <=50K
22169, >50K, <=50K
22170, <=50K, <=50K
22171, >50K, <=50K
22172, <=50K, <=50K
22173, <=50K, <=50K
22174, >50K, <=50K
22175, <=50K, <=50K
22176, <=50K, <=50K
22177, <=50K, <=50K
22178, <=50K, <=50K
22179, <=50K, <=50K
22180, <=50K, <=50K
22181, >50K, <=50K
22182, <=50K, <=50K
22183, <=50K, <=50K
22184, <=50K, <=50K
22185, <=50K, <=50K
22186, <=50K, <=50K
22187, <=50K, <=50K
22188, <=50K, <=50K
22189, >50K, <=50K
22190, <=50K, <=50K
22191, <=50K, >50K
22192, <=50K, <=50K
22193, >50K, <=50K
22194, >50K, <=50K
22195, <=50K, <=50K
22196, <=50K, <=50K
22197, >50K, <=50K
22198, <=50K, <=50K
22199, <=50K, <=50K
22200, <=50K, <=50K
22201, <=50K, <=50K
22202, <=50K, <=50K
22203, <=50K, <=50K
22204, >50K, >50K
22205, <=50K, <=50K
22206, <=50K, <=50K
22207, <=50K, <=50K
22208, >50K, <=50K
22209, <=50K, <=50K
22210, >50K, <=50K
22211, <=50K, <=50K
22212, <=50K, <=50K
22213, <=50K, <=50K
22214, >50K, <=50K
22215, <=50K, <=50K
22216, <=50K, <=50K
22217, <=50K, >50K
22218, <=50K, >50K
22219, <=50K, <=50K
22220, <=50K, <=50K
22221, <=50K, <=50K
22222, <=50K, <=50K
22223, >50K, <=50K
22224, <=50K, <=50K
22225, >50K, >50K
22226, <=50K, <=50K
22227, >50K, >50K
22228, >50K, <=50K
22229, <=50K, <=50K
22230, <=50K, <=50K
22231, <=50K, <=50K
22232, <=50K, <=50K
22233, <=50K, <=50K
22234, <=50K, <=50K
22235, <=50K, <=50K
22236, <=50K, <=50K
22237, <=50K, <=50K
22238, <=50K, <=50K
22239, <=50K, <=50K
22240, <=50K, <=50K
22241, <=50K, <=50K
22242, <=50K, <=50K
22243, <=50K, <=50K
22244, <=50K, <=50K
22245, <=50K, <=50K
22246, >50K, >50K
22247, <=50K, >50K
22248, <=50K, <=50K
22249, <=50K, <=50K
22250, <=50K, <=50K
22251, >50K, <=50K
22252, >50K, >50K
22253, <=50K, <=50K
22254, >50K, <=50K
22255, <=50K, <=50K
22256, <=50K, <=50K
22257, >50K, >50K
22258, <=50K, <=50K
22259, <=50K, <=50K
22260, <=50K, <=50K
22261, <=50K, <=50K
22262, <=50K, <=50K
22263, <=50K, <=50K
22264, <=50K, <=50K
22265, <=50K, <=50K
22266, >50K, <=50K
22267, <=50K, <=50K
22268, <=50K, <=50K
22269, <=50K, <=50K
22270, <=50K, <=50K
22271, <=50K, <=50K
22272, >50K, >50K
22273, <=50K, <=50K
22274, <=50K, <=50K
22275, >50K, >50K
22276, >50K, <=50K
22277, <=50K, <=50K
22278, <=50K, <=50K
22279, >50K, <=50K
22280, >50K, >50K
22281, <=50K, <=50K
22282, >50K, <=50K
22283, <=50K, <=50K
22284, >50K, >50K
22285, >50K, >50K
22286, <=50K, <=50K
22287, <=50K, <=50K
22288, >50K, <=50K
22289, >50K, <=50K
22290, <=50K, <=50K
22291, <=50K, <=50K
22292, <=50K, <=50K
22293, >50K, >50K
22294, <=50K, <=50K
22295, <=50K, >50K
22296, <=50K, <=50K
22297, <=50K, <=50K
22298, <=50K, <=50K
22299, <=50K, <=50K
22300, <=50K, <=50K
22301, >50K, <=50K
22302, <=50K, <=50K
22303, <=50K, <=50K
22304, <=50K, <=50K
22305, <=50K, <=50K
22306, >50K, <=50K
22307, <=50K, <=50K
22308, <=50K, <=50K
22309, >50K, <=50K
22310, <=50K, <=50K
22311, <=50K, <=50K
22312, <=50K, <=50K
22313, <=50K, <=50K
22314, <=50K, >50K
22315, <=50K, <=50K
22316, <=50K, <=50K
22317, >50K, >50K
22318, <=50K, <=50K
22319, <=50K, <=50K
22320, <=50K, >50K
22321, <=50K, <=50K
22322, <=50K, <=50K
22323, >50K, <=50K
22324, <=50K, <=50K
22325, <=50K, <=50K
22326, <=50K, <=50K
22327, <=50K, <=50K
22328, >50K, <=50K
22329, >50K, <=50K
22330, <=50K, <=50K
22331, >50K, <=50K
22332, >50K, <=50K
22333, <=50K, <=50K
22334, >50K, <=50K
22335, >50K, >50K
22336, <=50K, <=50K
22337, >50K, <=50K
22338, >50K, <=50K
22339, <=50K, <=50K
22340, <=50K, <=50K
22341, <=50K, <=50K
22342, <=50K, >50K
22343, <=50K, <=50K
22344, <=50K, <=50K
22345, <=50K, <=50K
22346, <=50K, <=50K
22347, <=50K, <=50K
22348, <=50K, <=50K
22349, <=50K, <=50K
22350, <=50K, <=50K
22351, <=50K, <=50K
22352, <=50K, <=50K
22353, <=50K, <=50K
22354, <=50K, <=50K
22355, <=50K, <=50K
22356, <=50K, <=50K
22357, <=50K, <=50K
22358, <=50K, <=50K
22359, <=50K, <=50K
22360, <=50K, <=50K
22361, >50K, >50K
22362, <=50K, <=50K
22363, <=50K, <=50K
22364, <=50K, <=50K
22365, <=50K, <=50K
22366, <=50K, <=50K
22367, <=50K, <=50K
22368, <=50K, <=50K
22369, >50K, <=50K
22370, <=50K, <=50K
22371, <=50K, <=50K
22372, <=50K, <=50K
22373, <=50K, <=50K
22374, <=50K, <=50K
22375, >50K, <=50K
22376, <=50K, <=50K
22377, <=50K, <=50K
22378, <=50K, <=50K
22379, <=50K, <=50K
22380, <=50K, <=50K
22381, <=50K, <=50K
22382, <=50K, <=50K
22383, <=50K, <=50K
22384, >50K, <=50K
22385, >50K, >50K
22386, <=50K, <=50K
22387, <=50K, <=50K
22388, >50K, <=50K
22389, >50K, >50K
22390, >50K, >50K
22391, <=50K, >50K
22392, <=50K, <=50K
22393, <=50K, <=50K
22394, >50K, <=50K
22395, <=50K, <=50K
22396, <=50K, <=50K
22397, <=50K, <=50K
22398, >50K, >50K
22399, >50K, <=50K
22400, <=50K, <=50K
22401, <=50K, <=50K
22402, >50K, >50K
22403, <=50K, <=50K
22404, <=50K, <=50K
22405, <=50K, <=50K
22406, <=50K, <=50K
22407, >50K, >50K
22408, <=50K, <=50K
22409, <=50K, <=50K
22410, <=50K, <=50K
22411, <=50K, <=50K
22412, <=50K, <=50K
22413, <=50K, <=50K
22414, >50K, <=50K
22415, <=50K, <=50K
22416, <=50K, <=50K
22417, <=50K, <=50K
22418, >50K, >50K
22419, <=50K, >50K
22420, >50K, <=50K
22421, >50K, <=50K
22422, <=50K, <=50K
22423, <=50K, <=50K
22424, >50K, <=50K
22425, <=50K, <=50K
22426, <=50K, <=50K
22427, >50K, <=50K
22428, >50K, >50K
22429, <=50K, <=50K
22430, >50K, <=50K
22431, <=50K, <=50K
22432, >50K, >50K
22433, <=50K, <=50K
22434, <=50K, <=50K
22435, <=50K, <=50K
22436, <=50K, <=50K
22437, <=50K, <=50K
22438, <=50K, <=50K
22439, >50K, <=50K
22440, <=50K, <=50K
22441, >50K, >50K
22442, <=50K, <=50K
22443, >50K, <=50K
22444, <=50K, <=50K
22445, <=50K, <=50K
22446, <=50K, <=50K
22447, >50K, >50K
22448, >50K, <=50K
22449, >50K, <=50K
22450, <=50K, <=50K
22451, >50K, >50K
22452, >50K, <=50K
22453, <=50K, <=50K
22454, <=50K, <=50K
22455, >50K, >50K
22456, >50K, <=50K
22457, <=50K, <=50K
22458, >50K, <=50K
22459, <=50K, <=50K
22460, <=50K, <=50K
22461, <=50K, <=50K
22462, >50K, >50K
22463, <=50K, <=50K
22464, <=50K, <=50K
22465, <=50K, <=50K
22466, <=50K, <=50K
22467, >50K, <=50K
22468, <=50K, <=50K
22469, <=50K, <=50K
22470, >50K, <=50K
22471, <=50K, <=50K
22472, <=50K, <=50K
22473, <=50K, <=50K
22474, <=50K, <=50K
22475, >50K, <=50K
22476, <=50K, <=50K
22477, <=50K, <=50K
22478, <=50K, >50K
22479, <=50K, <=50K
22480, <=50K, <=50K
22481, <=50K, <=50K
22482, <=50K, <=50K
22483, <=50K, <=50K
22484, <=50K, <=50K
22485, <=50K, <=50K
22486, >50K, <=50K
22487, <=50K, <=50K
22488, <=50K, <=50K
22489, <=50K, <=50K
22490, <=50K, <=50K
22491, >50K, <=50K
22492, <=50K, <=50K
22493, <=50K, <=50K
22494, <=50K, <=50K
22495, <=50K, <=50K
22496, <=50K, <=50K
22497, <=50K, <=50K
22498, <=50K, <=50K
22499, <=50K, <=50K
22500, <=50K, <=50K
22501, <=50K, <=50K
22502, <=50K, <=50K
22503, >50K, <=50K
22504, <=50K, >50K
22505, >50K, <=50K
22506, >50K, <=50K
22507, <=50K, <=50K
22508, <=50K, <=50K
22509, <=50K, <=50K
22510, <=50K, <=50K
22511, <=50K, <=50K
22512, <=50K, <=50K
22513, >50K, <=50K
22514, <=50K, <=50K
22515, >50K, >50K
22516, >50K, <=50K
22517, <=50K, <=50K
22518, >50K, <=50K
22519, >50K, <=50K
22520, <=50K, <=50K
22521, >50K, <=50K
22522, <=50K, <=50K
22523, <=50K, <=50K
22524, <=50K, <=50K
22525, <=50K, <=50K
22526, >50K, <=50K
22527, >50K, >50K
22528, <=50K, <=50K
22529, <=50K, <=50K
22530, <=50K, <=50K
22531, <=50K, <=50K
22532, <=50K, <=50K
22533, <=50K, <=50K
22534, <=50K, <=50K
22535, <=50K, <=50K
22536, >50K, <=50K
22537, >50K, >50K
22538, <=50K, <=50K
22539, <=50K, >50K
22540, <=50K, <=50K
22541, <=50K, <=50K
22542, <=50K, >50K
22543, >50K, >50K
22544, >50K, <=50K
22545, <=50K, <=50K
22546, >50K, <=50K
22547, >50K, <=50K
22548, <=50K, <=50K
22549, <=50K, <=50K
22550, <=50K, <=50K
22551, <=50K, <=50K
22552, <=50K, <=50K
22553, <=50K, <=50K
22554, <=50K, <=50K
22555, >50K, <=50K
22556, <=50K, <=50K
22557, <=50K, <=50K
22558, <=50K, <=50K
22559, <=50K, <=50K
22560, <=50K, <=50K
22561, <=50K, <=50K
22562, <=50K, <=50K
22563, <=50K, <=50K
22564, >50K, <=50K
22565, <=50K, <=50K
22566, <=50K, <=50K
22567, <=50K, <=50K
22568, <=50K, <=50K
22569, >50K, >50K
22570, >50K, <=50K
22571, <=50K, <=50K
22572, <=50K, <=50K
22573, >50K, >50K
22574, >50K, <=50K
22575, <=50K, <=50K
22576, <=50K, <=50K
22577, <=50K, <=50K
22578, >50K, <=50K
22579, <=50K, <=50K
22580, >50K, >50K
22581, <=50K, <=50K
22582, <=50K, <=50K
22583, <=50K, <=50K
22584, <=50K, <=50K
22585, <=50K, <=50K
22586, >50K, <=50K
22587, <=50K, <=50K
22588, <=50K, <=50K
22589, <=50K, <=50K
22590, >50K, <=50K
22591, >50K, >50K
22592, >50K, <=50K
22593, <=50K, <=50K
22594, <=50K, >50K
22595, <=50K, <=50K
22596, >50K, >50K
22597, <=50K, <=50K
22598, <=50K, <=50K
22599, <=50K, <=50K
22600, <=50K, <=50K
22601, <=50K, <=50K
22602, <=50K, <=50K
22603, <=50K, <=50K
22604, <=50K, <=50K
22605, <=50K, <=50K
22606, <=50K, <=50K
22607, <=50K, <=50K
22608, >50K, <=50K
22609, <=50K, <=50K
22610, <=50K, <=50K
22611, >50K, <=50K
22612, <=50K, <=50K
22613, >50K, <=50K
22614, <=50K, <=50K
22615, <=50K, <=50K
22616, <=50K, <=50K
22617, <=50K, <=50K
22618, <=50K, <=50K
22619, <=50K, <=50K
22620, >50K, <=50K
22621, <=50K, <=50K
22622, <=50K, <=50K
22623, <=50K, <=50K
22624, <=50K, <=50K
22625, <=50K, <=50K
22626, <=50K, <=50K
22627, <=50K, <=50K
22628, <=50K, <=50K
22629, <=50K, <=50K
22630, >50K, <=50K
22631, >50K, <=50K
22632, <=50K, <=50K
22633, <=50K, <=50K
22634, >50K, <=50K
22635, <=50K, <=50K
22636, <=50K, <=50K
22637, >50K, <=50K
22638, <=50K, <=50K
22639, <=50K, >50K
22640, >50K, <=50K
22641, <=50K, <=50K
22642, <=50K, <=50K
22643, >50K, >50K
22644, >50K, <=50K
22645, <=50K, <=50K
22646, <=50K, <=50K
22647, <=50K, <=50K
22648, <=50K, <=50K
22649, <=50K, <=50K
22650, <=50K, <=50K
22651, <=50K, <=50K
22652, <=50K, <=50K
22653, <=50K, <=50K
22654, <=50K, <=50K
22655, >50K, <=50K
22656, <=50K, <=50K
22657, <=50K, <=50K
22658, <=50K, <=50K
22659, <=50K, <=50K
22660, <=50K, <=50K
22661, <=50K, <=50K
22662, <=50K, <=50K
22663, <=50K, <=50K
22664, <=50K, <=50K
22665, >50K, <=50K
22666, <=50K, <=50K
22667, >50K, <=50K
22668, >50K, >50K
22669, <=50K, <=50K
22670, <=50K, <=50K
22671, >50K, >50K
22672, <=50K, <=50K
22673, <=50K, <=50K
22674, <=50K, <=50K
22675, >50K, <=50K
22676, <=50K, <=50K
22677, <=50K, <=50K
22678, <=50K, <=50K
22679, <=50K, <=50K
22680, <=50K, <=50K
22681, <=50K, <=50K
22682, <=50K, <=50K
22683, <=50K, <=50K
22684, >50K, <=50K
22685, <=50K, <=50K
22686, <=50K, <=50K
22687, <=50K, <=50K
22688, <=50K, >50K
22689, <=50K, <=50K
22690, <=50K, <=50K
22691, >50K, >50K
22692, <=50K, <=50K
22693, <=50K, <=50K
22694, <=50K, <=50K
22695, <=50K, <=50K
22696, >50K, >50K
22697, >50K, <=50K
22698, <=50K, <=50K
22699, <=50K, <=50K
22700, <=50K, <=50K
22701, <=50K, <=50K
22702, <=50K, <=50K
22703, >50K, <=50K
22704, >50K, <=50K
22705, <=50K, <=50K
22706, <=50K, <=50K
22707, <=50K, <=50K
22708, >50K, >50K
22709, <=50K, <=50K
22710, >50K, <=50K
22711, <=50K, <=50K
22712, <=50K, <=50K
22713, >50K, <=50K
22714, <=50K, <=50K
22715, <=50K, <=50K
22716, >50K, <=50K
22717, <=50K, <=50K
22718, >50K, <=50K
22719, <=50K, <=50K
22720, >50K, >50K
22721, <=50K, <=50K
22722, >50K, <=50K
22723, >50K, >50K
22724, <=50K, <=50K
22725, <=50K, <=50K
22726, <=50K, <=50K
22727, <=50K, <=50K
22728, <=50K, <=50K
22729, <=50K, <=50K
22730, >50K, <=50K
22731, <=50K, <=50K
22732, >50K, <=50K
22733, >50K, <=50K
22734, <=50K, <=50K
22735, >50K, <=50K
22736, <=50K, <=50K
22737, >50K, <=50K
22738, >50K, <=50K
22739, <=50K, <=50K
22740, <=50K, <=50K
22741, <=50K, <=50K
22742, <=50K, <=50K
22743, <=50K, <=50K
22744, <=50K, >50K
22745, <=50K, >50K
22746, <=50K, <=50K
22747, <=50K, <=50K
22748, >50K, >50K
22749, >50K, >50K
22750, <=50K, <=50K
22751, <=50K, <=50K
22752, <=50K, <=50K
22753, <=50K, <=50K
22754, <=50K, >50K
22755, <=50K, <=50K
22756, <=50K, <=50K
22757, <=50K, <=50K
22758, <=50K, <=50K
22759, <=50K, <=50K
22760, <=50K, <=50K
22761, >50K, <=50K
22762, >50K, <=50K
22763, <=50K, <=50K
22764, <=50K, <=50K
22765, <=50K, <=50K
22766, <=50K, <=50K
22767, >50K, <=50K
22768, <=50K, <=50K
22769, <=50K, <=50K
22770, <=50K, <=50K
22771, <=50K, <=50K
22772, <=50K, <=50K
22773, <=50K, <=50K
22774, <=50K, <=50K
22775, <=50K, <=50K
22776, <=50K, <=50K
22777, <=50K, <=50K
22778, <=50K, <=50K
22779, <=50K, <=50K
22780, >50K, <=50K
22781, <=50K, <=50K
22782, >50K, <=50K
22783, <=50K, <=50K
22784, <=50K, <=50K
22785, <=50K, <=50K
22786, <=50K, <=50K
22787, <=50K, <=50K
22788, <=50K, <=50K
22789, <=50K, <=50K
22790, <=50K, <=50K
22791, >50K, <=50K
22792, <=50K, <=50K
22793, >50K, >50K
22794, <=50K, <=50K
22795, <=50K, <=50K
22796, <=50K, <=50K
22797, <=50K, <=50K
22798, <=50K, <=50K
22799, <=50K, <=50K
22800, >50K, <=50K
22801, <=50K, <=50K
22802, <=50K, <=50K
22803, <=50K, <=50K
22804, <=50K, <=50K
22805, <=50K, <=50K
22806, >50K, <=50K
22807, <=50K, <=50K
22808, <=50K, <=50K
22809, <=50K, <=50K
22810, <=50K, <=50K
22811, >50K, >50K
22812, >50K, <=50K
22813, <=50K, <=50K
22814, <=50K, <=50K
22815, <=50K, <=50K
22816, <=50K, <=50K
22817, >50K, <=50K
22818, <=50K, <=50K
22819, <=50K, <=50K
22820, <=50K, <=50K
22821, >50K, <=50K
22822, <=50K, <=50K
22823, <=50K, <=50K
22824, <=50K, <=50K
22825, <=50K, <=50K
22826, <=50K, <=50K
22827, >50K, <=50K
22828, <=50K, <=50K
22829, >50K, <=50K
22830, <=50K, <=50K
22831, <=50K, <=50K
22832, <=50K, <=50K
22833, <=50K, <=50K
22834, <=50K, <=50K
22835, <=50K, <=50K
22836, <=50K, <=50K
22837, <=50K, <=50K
22838, <=50K, <=50K
22839, <=50K, <=50K
22840, >50K, <=50K
22841, <=50K, <=50K
22842, <=50K, <=50K
22843, <=50K, <=50K
22844, <=50K, >50K
22845, >50K, >50K
22846, >50K, <=50K
22847, >50K, >50K
22848, <=50K, <=50K
22849, <=50K, <=50K
22850, >50K, <=50K
22851, <=50K, <=50K
22852, <=50K, <=50K
22853, >50K, <=50K
22854, <=50K, <=50K
22855, <=50K, <=50K
22856, <=50K, <=50K
22857, <=50K, <=50K
22858, <=50K, >50K
22859, <=50K, <=50K
22860, <=50K, <=50K
22861, >50K, <=50K
22862, <=50K, <=50K
22863, <=50K, <=50K
22864, <=50K, <=50K
22865, <=50K, <=50K
22866, <=50K, <=50K
22867, >50K, >50K
22868, >50K, <=50K
22869, <=50K, >50K
22870, >50K, <=50K
22871, <=50K, <=50K
22872, <=50K, >50K
22873, <=50K, <=50K
22874, <=50K, <=50K
22875, <=50K, <=50K
22876, <=50K, <=50K
22877, <=50K, <=50K
22878, <=50K, <=50K
22879, <=50K, <=50K
22880, <=50K, <=50K
22881, <=50K, <=50K
22882, >50K, <=50K
22883, <=50K, <=50K
22884, <=50K, <=50K
22885, <=50K, <=50K
22886, <=50K, <=50K
22887, <=50K, <=50K
22888, <=50K, <=50K
22889, <=50K, <=50K
22890, >50K, <=50K
22891, <=50K, <=50K
22892, <=50K, <=50K
22893, <=50K, <=50K
22894, <=50K, <=50K
22895, <=50K, <=50K
22896, <=50K, <=50K
22897, <=50K, <=50K
22898, <=50K, <=50K
22899, <=50K, <=50K
22900, <=50K, <=50K
22901, <=50K, <=50K
22902, <=50K, <=50K
22903, <=50K, <=50K
22904, <=50K, <=50K
22905, >50K, >50K
22906, >50K, <=50K
22907, <=50K, <=50K
22908, <=50K, <=50K
22909, <=50K, <=50K
22910, >50K, >50K
22911, <=50K, <=50K
22912, >50K, <=50K
22913, >50K, >50K
22914, <=50K, <=50K
22915, <=50K, <=50K
22916, <=50K, <=50K
22917, <=50K, <=50K
22918, <=50K, <=50K
